price,bedrooms,sqft,neighborhood,date_sold,has_pool,unknown_feature
450000,3,1500,Downtown,2023-01-15,1,A
525000,4,2000,Suburbs,2023-02-10,0,B
299000,2,1100,Downtown,2023-01-20,,C
850000,5,3500,Suburbs,2023-03-05,1,
340000,3,1400,Rural,2023-04-12,0,B
410000,3,1350,Downtown,2023-04-20,1,A
625000,4,2200,Suburbs,2023-05-08,0,C
275000,2,950,Rural,2023-05-15,0,B
780000,5,3100,Downtown,2023-06-02,1,A
365000,3,1250,Rural,2023-06-18,,C
490000,3,1700,Suburbs,2023-07-05,1,B
920000,6,4000,Downtown,2023-07-22,1,A
315000,2,1050,Rural,2023-08-11,0,
550000,4,1900,Downtown,2023-08-25,1,C
430000,3,1450,Suburbs,2023-09-03,,B
675000,4,2500,Suburbs,2023-09-19,1,A
295000,2,1000,Rural,2023-10-07,0,C
510000,3,1600,Downtown,2023-10-21,1,B
735000,5,2800,Suburbs,2023-11-12,1,
385000,3,1300,Rural,2023-11-28,0,A
460000,3,1550,Downtown,2023-12-05,,C
590000,4,2100,Suburbs,2023-12-18,1,B
325000,2,1150,Rural,2024-01-09,0,A
810000,5,3300,Downtown,2024-01-25,1,C
445000,3,1500,Suburbs,2024-02-14,,B
